date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:18	2/2	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jul%202024%2014:46:18%20GMT	https://template2.thietkewebsites.com/clone25/?p=918	C:/template-figures/template2.thietkewebsites.com/clone25/index5f81.html	(from https://template2.thietkewebsites.com/clone25/san-pham/pubg/)
21:46:21	288191/288191	---M--	200	added ('OK')	image/png	etag:%225e8d9cb2-465bf%22	https://template2.thietkewebsites.com/clone25/wp-content/uploads/2018/09/1.png	C:/template-figures/template2.thietkewebsites.com/clone25/wp-content/uploads/2018/09/1.png	(from https://template2.thietkewebsites.com/clone25/san-pham/pubg/)
21:46:21	182696/182696	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2014:46:21%20GMT	https://template2.thietkewebsites.com/clone25/san-pham/pubg/?add-to-cart=1162	C:/template-figures/template2.thietkewebsites.com/clone25/san-pham/pubg/indexce09.html	(from https://template2.thietkewebsites.com/clone25/san-pham/pubg/)
21:46:21	182706/182706	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2014:46:21%20GMT	https://template2.thietkewebsites.com/clone25/san-pham/pubg/?add-to-cart=1160	C:/template-figures/template2.thietkewebsites.com/clone25/san-pham/pubg/index5a55.html	(from https://template2.thietkewebsites.com/clone25/san-pham/pubg/)
21:46:23	182702/182702	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2014:46:23%20GMT	https://template2.thietkewebsites.com/clone25/san-pham/pubg/?add-to-cart=1157	C:/template-figures/template2.thietkewebsites.com/clone25/san-pham/pubg/index0838.html	(from https://template2.thietkewebsites.com/clone25/san-pham/pubg/)
21:46:23	2/2	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jul%202024%2014:46:24%20GMT	https://template2.thietkewebsites.com/clone25/san-pham/''	C:/template-figures/template2.thietkewebsites.com/clone25/san-pham/''	(from https://template2.thietkewebsites.com/clone25/san-pham/?add-to-cart=918)
21:46:27	182699/182699	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2014:46:26%20GMT	https://template2.thietkewebsites.com/clone25/san-pham/pubg/?add-to-cart=1152	C:/template-figures/template2.thietkewebsites.com/clone25/san-pham/pubg/index87de.html	(from https://template2.thietkewebsites.com/clone25/san-pham/pubg/)
21:46:27	2/2	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Jul%202024%2014:46:27%20GMT	https://template2.thietkewebsites.com/clone25/gio-hang/?remove_item=1e056d2b0ebd5c878c550da6ac5d3724&_wpnonce=391d64bd8d	C:/template-figures/template2.thietkewebsites.com/clone25/gio-hang/indexc400.html	(from https://template2.thietkewebsites.com/clone25/san-pham/?add-to-cart=918)
21:46:28	182706/182706	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2014:46:27%20GMT	https://template2.thietkewebsites.com/clone25/san-pham/pubg/?add-to-cart=1137	C:/template-figures/template2.thietkewebsites.com/clone25/san-pham/pubg/index28a5.html	(from https://template2.thietkewebsites.com/clone25/san-pham/pubg/)
21:46:28	182688/182688	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2014:46:28%20GMT	https://template2.thietkewebsites.com/clone25/san-pham/pubg/?add-to-cart=932	C:/template-figures/template2.thietkewebsites.com/clone25/san-pham/pubg/indexac42.html	(from https://template2.thietkewebsites.com/clone25/san-pham/pubg/)
21:46:29	2/2	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Jul%202024%2014:46:30%20GMT	https://template2.thietkewebsites.com/clone25/gio-hang/?remove_item=9f53d83ec0691550f7d2507d57f4f5a2&_wpnonce=391d64bd8d	C:/template-figures/template2.thietkewebsites.com/clone25/gio-hang/indexbf77.html	(from https://template2.thietkewebsites.com/clone25/san-pham/?add-to-cart=931)
21:46:29	2/2	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jul%202024%2014:46:30%20GMT	https://template2.thietkewebsites.com/clone25/san-pham/''	C:/template-figures/template2.thietkewebsites.com/clone25/san-pham/''	(from https://template2.thietkewebsites.com/clone25/san-pham/?add-to-cart=931)
21:46:31	2819/2819	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2023%20Jul%202024%2014:46:32%20GMT	https://template2.thietkewebsites.com/clone25/san-pham/tam-quoc-dien-nghia/feed/	C:/template-figures/template2.thietkewebsites.com/clone25/san-pham/tam-quoc-dien-nghia/feed/index.html	(from https://template2.thietkewebsites.com/clone25/san-pham/tam-quoc-dien-nghia/)
